Date,logreturn,t,variance_garch_t,w,mu,DF,var_garch_t_05,var_garch_t_01,var_garch_t_025,variance_garch_n,var_garch_n_05,var_garch_n_01,var_garch_n_025,var_empiric_01,var_empiric_025,var_empiric_05
12/10/2017,-0.055525979,344,0.0097082079,,0.001885,3,-0.228336249,-0.439268426,-0.308579366,0.0091063531,-0.15507905,-0.220112147,-0.185149154,-0.108355486,-0.07876586,-0.069844664
12/11/2017,-0.01819478,345,0.0082992393,,0.001885,3,-0.210975489,-0.406001458,-0.285167543,0.0073168608,-0.138813812,-0.197107911,-0.165767927,-0.108355486,-0.07876586,-0.069844664
12/12/2017,0.1197887331,346,0.0061922608,,0.001885,3,-0.181980654,-0.35044109,-0.246066611,0.0051247802,-0.115866325,-0.164652843,-0.13842431,-0.108355486,-0.07876586,-0.069844664
12/13/2017,0.0302196426,347,0.0077852048,,0.001885,3,-0.204278106,-0.393167826,-0.2761358,0.0068436005,-0.134187506,-0.190564838,-0.160255344,-0.108355486,-0.07876586,-0.069844664
12/14/2017,-0.027464244,348,0.0057466412,,0.001885,3,-0.175241302,-0.337527035,-0.23697827,0.0047716139,-0.111736591,-0.15881208,-0.133503428,-0.108355486,-0.07876586,-0.069844664
12/15/2017,-0.00773281,349,0.0045374058,,0.001885,3,-0.155506003,-0.299709938,-0.210364268,0.0036516194,-0.097511504,-0.138693269,-0.116553192,-0.108355486,-0.07876586,-0.069844664
12/16/2017,0.0634745904,350,0.0033790778,,0.001885,3,-0.133938619,-0.258382171,-0.181279611,0.0026407527,-0.082641408,-0.117662208,-0.09883438,-0.108355486,-0.07876586,-0.069844664
12/17/2017,0.0927283837,351,0.0032449517,,0.001885,3,-0.131215699,-0.253164467,-0.177607621,0.0026953299,-0.083510405,-0.118891246,-0.099869853,-0.108355486,-0.07876586,-0.069844664
12/18/2017,-0.010771261,352,0.0041420717,,0.001885,3,-0.148493216,-0.286271924,-0.200907187,0.0037669941,-0.09906953,-0.140896814,-0.118409693,-0.108355486,-0.07876586,-0.069844664
12/19/2017,-0.017146264,353,0.0031812549,,0.001885,3,-0.129902876,-0.250648816,-0.175837217,0.0027895181,-0.084989658,-0.120983382,-0.101632491,-0.108355486,-0.07876586,-0.069844664
12/20/2017,-0.066770269,354,0.0026071571,,0.001885,3,-0.117420349,-0.226729597,-0.159003928,0.0022597082,-0.076305653,-0.108701428,-0.091284861,-0.108355486,-0.07876586,-0.069844664
12/21/2017,-0.101429794,355,0.0035854379,,0.001885,3,-0.138024525,-0.266211649,-0.186789652,0.0033084534,-0.092725846,-0.13192482,-0.110850728,-0.108355486,-0.07876586,-0.069844664
12/22/2017,0.0013243425,356,0.0058976135,,0.001885,3,-0.177552892,-0.341956541,-0.24009556,0.0057561683,-0.122909336,-0.174613907,-0.146816575,-0.108355486,-0.083506926,-0.071865891
12/23/2017,-0.054854171,357,0.0042111124,,0.001885,3,-0.149741298,-0.288663519,-0.202590286,0.0038766184,-0.100527943,-0.142959476,-0.120147501,-0.108355486,-0.083506926,-0.071865891
12/24/2017,0.0110842365,358,0.0041402681,,0.001885,3,-0.148460474,-0.286209182,-0.200863032,0.0038404068,-0.100048501,-0.142281392,-0.11957621,-0.108355486,-0.083506926,-0.071865891
